predictor_series_id,target_repository,target_series_id,target_name,target_coicop,economic_channel,expected_sign,lag_min,lag_max,transformations,priority,point_in_time_quality,research_status,notes
DEFRA_FRUITVEG_FRUIT_APPLES_BRAEBURN,collector_ons_cpi,CPI_COICOP_G011_D7C8,Food,01.1,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Wholesale home-grown produce prices lead retail food prices; the ONS Food group is the confirmed broad target.
DEFRA_FRUITVEG_FRUIT_APPLES_BRAEBURN,collector_ons_cpi,CPI_COICOP_C0116_D7DA,Fruit,01.1.6,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Target verified against ONS Table 38 native metadata on 2026-09-16.
DEFRA_FRUITVEG_FRUIT_APPLES_BRAMLEYSSEEDLING,collector_ons_cpi,CPI_COICOP_G011_D7C8,Food,01.1,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Wholesale home-grown produce prices lead retail food prices; the ONS Food group is the confirmed broad target.
DEFRA_FRUITVEG_FRUIT_APPLES_BRAMLEYSSEEDLING,collector_ons_cpi,CPI_COICOP_C0116_D7DA,Fruit,01.1.6,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Target verified against ONS Table 38 native metadata on 2026-09-16.
DEFRA_FRUITVEG_FRUIT_APPLES_COXSORANGEGROUP,collector_ons_cpi,CPI_COICOP_G011_D7C8,Food,01.1,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Wholesale home-grown produce prices lead retail food prices; the ONS Food group is the confirmed broad target.
DEFRA_FRUITVEG_FRUIT_APPLES_COXSORANGEGROUP,collector_ons_cpi,CPI_COICOP_C0116_D7DA,Fruit,01.1.6,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Target verified against ONS Table 38 native metadata on 2026-09-16.
DEFRA_FRUITVEG_FRUIT_APPLES_EGREMONTRUSSET,collector_ons_cpi,CPI_COICOP_G011_D7C8,Food,01.1,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Wholesale home-grown produce prices lead retail food prices; the ONS Food group is the confirmed broad target.
DEFRA_FRUITVEG_FRUIT_APPLES_EGREMONTRUSSET,collector_ons_cpi,CPI_COICOP_C0116_D7DA,Fruit,01.1.6,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Target verified against ONS Table 38 native metadata on 2026-09-16.
DEFRA_FRUITVEG_FRUIT_APPLES_GALA,collector_ons_cpi,CPI_COICOP_G011_D7C8,Food,01.1,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Wholesale home-grown produce prices lead retail food prices; the ONS Food group is the confirmed broad target.
DEFRA_FRUITVEG_FRUIT_APPLES_GALA,collector_ons_cpi,CPI_COICOP_C0116_D7DA,Fruit,01.1.6,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Target verified against ONS Table 38 native metadata on 2026-09-16.
DEFRA_FRUITVEG_FRUIT_APPLES_OTHEREARLYSEASON,collector_ons_cpi,CPI_COICOP_G011_D7C8,Food,01.1,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Wholesale home-grown produce prices lead retail food prices; the ONS Food group is the confirmed broad target.
DEFRA_FRUITVEG_FRUIT_APPLES_OTHEREARLYSEASON,collector_ons_cpi,CPI_COICOP_C0116_D7DA,Fruit,01.1.6,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Target verified against ONS Table 38 native metadata on 2026-09-16.
DEFRA_FRUITVEG_FRUIT_APPLES_OTHERLATESEASON,collector_ons_cpi,CPI_COICOP_G011_D7C8,Food,01.1,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Wholesale home-grown produce prices lead retail food prices; the ONS Food group is the confirmed broad target.
DEFRA_FRUITVEG_FRUIT_APPLES_OTHERLATESEASON,collector_ons_cpi,CPI_COICOP_C0116_D7DA,Fruit,01.1.6,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Target verified against ONS Table 38 native metadata on 2026-09-16.
DEFRA_FRUITVEG_FRUIT_APPLES_OTHERMIDSEASON,collector_ons_cpi,CPI_COICOP_G011_D7C8,Food,01.1,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Wholesale home-grown produce prices lead retail food prices; the ONS Food group is the confirmed broad target.
DEFRA_FRUITVEG_FRUIT_APPLES_OTHERMIDSEASON,collector_ons_cpi,CPI_COICOP_C0116_D7DA,Fruit,01.1.6,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Target verified against ONS Table 38 native metadata on 2026-09-16.
DEFRA_FRUITVEG_FRUIT_BLACKBERRIES_BLACKBERRIES,collector_ons_cpi,CPI_COICOP_G011_D7C8,Food,01.1,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Wholesale home-grown produce prices lead retail food prices; the ONS Food group is the confirmed broad target.
DEFRA_FRUITVEG_FRUIT_BLACKBERRIES_BLACKBERRIES,collector_ons_cpi,CPI_COICOP_C0116_D7DA,Fruit,01.1.6,wholesale_to_retail_food_pass_through,positive,1,3,monthly_average;mom;yoy,2,official,not_started,Target verified against ONS Table 38 native metadata on 2026-09-16.
